Etr,Erot1_in,Erot2_in,Etr_out,Erot1_out,Erot2_out
3.0949514763132825e-21,1.3749408116742656e-21,3.5750402564007615e-21,5.5421184559205806e-21,1.646332120687912e-21,8.57880118845721e-22
2.3685515169614163e-21,2.1735949556040563e-21,4.3357967309134086e-23,6.530518811724655e-22,3.494183195835424e-21,4.3876206655005595e-22
6.967140629950264e-21,1.587378894163208e-22,2.5657173029081657e-21,5.3692413039195306e-21,3.2005060471321645e-21,1.1221878982623187e-21
4.1190153775952435e-21,2.327092881944287e-21,1.3109646570865883e-21,5.275215319505586e-21,4.680593326674568e-22,2.0129103260517228e-21
4.6095641748728065e-21,6.5092366822015766e-21,6.020154962233147e-22,6.358067449075537e-21,2.1573711216756476e-21,3.20612050403509e-21
1.5461645342813022e-20,1.4082890468839124e-21,8.637933385519896e-22,5.0857580015582615e-21,8.751754473001638e-21,3.895087208131051e-21
8.174132152468305e-22,5.679191384207492e-21,3.12189414473111e-21,2.9226212468447256e-21,6.017370207065005e-21,6.791131718646411e-22
1.1109060935557513e-21,7.828185969022493e-22,1.0719125438423488e-21,9.609918263621443e-22,1.9991165110736595e-21,4.627292797748676e-24
3.800856287001492e-21,4.583180317549681e-21,5.448289632732129e-22,3.232037865443176e-21,8.320365442715596e-22,4.8637863200267046e-21
3.078201442996249e-21,9.546497827383004e-21,2.9236750121186987e-21,8.616624918623674e-21,6.161173273015941e-21,7.704038506380756e-22
7.066782996454096e-21,9.203187271955922e-22,1.055443457276302e-20,1.5006615542691456e-20,5.363351062187393e-22,2.9988457976863802e-21
1.1284362198452048e-21,2.4894013020240364e-21,6.029543920093371e-21,2.9161777507462377e-21,3.845374161942172e-21,2.885399034157252e-21
6.487033211826948e-21,3.8254798335078484e-21,1.1994697425981467e-21,1.0716348092146571e-20,5.420409346021018e-22,2.5245711641588994e-22
7.534742772119548e-21,1.8134437485888207e-21,1.169444284401684e-20,1.1960951511995291e-20,1.9530896718926574e-21,7.128075066544871e-21
7.953166309020435e-22,6.250420802014151e-21,6.508815311203825e-22,1.1929503731643444e-21,4.426824938699117e-21,2.076897369710198e-21
